@relation AngelDaten-weka.filters.supervised.instance.Resample-B0.9-S1-Z100.0-no-replacement-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute 0_wasser_temperatur numeric
@attribute 0_luft_temperatur numeric
@attribute 0_relative_luft_feuchte numeric
@attribute 0_boden_temperatur_5cm numeric
@attribute 0_boden_temperatur_10cm numeric
@attribute 0_boden_temperatur_20cm numeric
@attribute 0_boden_temperatur_50cm numeric
@attribute 0_boden_temperatur_100cm numeric
@attribute 0_wind_staerke numeric
@attribute 0_wind_richtung numeric
@attribute 0_sonnen_stunden numeric
@attribute 0_niederschlag_menge numeric
@attribute 1_wasser_temperatur numeric
@attribute 1_luft_temperatur numeric
@attribute 1_relative_luft_feuchte numeric
@attribute 1_boden_temperatur_5cm numeric
@attribute 1_boden_temperatur_10cm numeric
@attribute 1_boden_temperatur_20cm numeric
@attribute 1_boden_temperatur_50cm numeric
@attribute 1_boden_temperatur_100cm numeric
@attribute 1_wind_staerke numeric
@attribute 1_wind_richtung numeric
@attribute 1_sonnen_stunden numeric
@attribute 1_niederschlag_menge numeric
@attribute 2_wasser_temperatur numeric
@attribute 2_luft_temperatur numeric
@attribute 2_relative_luft_feuchte numeric
@attribute 2_boden_temperatur_5cm numeric
@attribute 2_boden_temperatur_10cm numeric
@attribute 2_boden_temperatur_20cm numeric
@attribute 2_boden_temperatur_50cm numeric
@attribute 2_boden_temperatur_100cm numeric
@attribute 2_wind_staerke numeric
@attribute 2_wind_richtung numeric
@attribute 2_sonnen_stunden numeric
@attribute 2_niederschlag_menge numeric
@attribute datum_monat_tag numeric
@attribute fangzeit_24_stunden numeric
@attribute class {Karpfen,Forelle,Brachse,Barbe,Hecht,Aal}

@data
0.597561,0.2287,0.637681,0.348921,0.405303,0.506608,0.566474,0.467105,0.205882,0.903226,0.703448,0.026667,0.60625,0.505882,0.541667,0.384906,0.417969,0.497717,0.52514,0.467532,1,0.787879,0.721088,0.1875,0.642857,0.336364,0.457143,0.368821,0.413386,0.509259,0.524324,0.458599,0.244898,0.375,0.857143,0,0.329932,0.666667,Brachse
0.859756,0.591928,0.362319,0.654676,0.704545,0.819383,0.988439,0.993421,0.294118,0.483871,0.510345,0,0.90625,0.647059,0.208333,0.74717,0.78125,0.872146,0.955307,1,0.311111,0,0.489796,0,0.993506,0.572727,0.614286,0.593156,0.649606,0.824074,0.972973,1,1,1,0.061224,0,0.819728,0.366667,Brachse
0.506098,0.29148,0.362319,0.266187,0.310606,0.427313,0.554913,0.539474,0.647059,0,0.303448,0,0.575,0.301961,0.222222,0.328302,0.371094,0.465753,0.536313,0.551948,0.377778,0.060606,0.823129,0,0.62987,0.159091,0.185714,0.292776,0.354331,0.481481,0.556757,0.56051,0.938776,0.96875,0.591837,0,0.346939,0.716667,Barbe
0.597561,0.2287,0.637681,0.348921,0.405303,0.506608,0.566474,0.467105,0.205882,0.903226,0.703448,0.026667,0.60625,0.505882,0.541667,0.384906,0.417969,0.497717,0.52514,0.467532,1,0.787879,0.721088,0.1875,0.642857,0.336364,0.457143,0.368821,0.413386,0.509259,0.524324,0.458599,0.244898,0.375,0.857143,0,0.329932,0.716667,Barbe
0.670732,0.251121,0.594203,0.280576,0.382576,0.585903,0.843931,0.875,0.117647,1,0.165517,0.386667,0.75625,0.290196,0.902778,0.437736,0.546875,0.73516,0.837989,0.876623,0.133333,0.484848,0.693878,0,0.837662,0.227273,0.957143,0.490494,0.610236,0.791667,0.816216,0.872611,0.081633,0.3125,0.911565,0,0.833333,0.833333,Barbe
0.640244,0,0.811594,0.330935,0.454545,0.634361,0.728324,0.644737,0.147059,0.354839,0.758621,0,0.6625,0.239216,0.972222,0.343396,0.464844,0.666667,0.72067,0.636364,0.177778,0.272727,0.578231,0.75,0.720779,0.168182,0.742857,0.39924,0.527559,0.722222,0.708108,0.617834,0.244898,0.5625,0.77551,0.02,0.486395,0.833333,Barbe
0.640244,0,0.811594,0.330935,0.454545,0.634361,0.728324,0.644737,0.147059,0.354839,0.758621,0,0.6625,0.239216,0.972222,0.343396,0.464844,0.666667,0.72067,0.636364,0.177778,0.272727,0.578231,0.75,0.720779,0.168182,0.742857,0.39924,0.527559,0.722222,0.708108,0.617834,0.244898,0.5625,0.77551,0.02,0.486395,0.833333,Barbe
0.353659,0.188341,0.42029,0.223022,0.261364,0.321586,0.33526,0.296053,0.705882,0.322581,0.731034,0,0.35625,0,0.388889,0.135849,0.199219,0.287671,0.318436,0.292208,0.377778,0.060606,0.85034,0,0.376623,0.013636,0.528571,0.098859,0.165354,0.296296,0.340541,0.280255,0.693878,0.90625,0.408163,0,0.316327,0.716667,Barbe
0.707317,0.237668,0.956522,0.384892,0.488636,0.638767,0.768786,0.881579,0.088235,0.580645,0.813793,0,0.75,0.188235,0.944444,0.29434,0.417969,0.60274,0.75419,0.902597,0.133333,0.121212,0.564626,0,0.792208,0.245455,0.9,0.247148,0.338583,0.560185,0.805405,0.923567,0.346939,0.90625,0.054422,0.073333,1,0.716667,Hecht
0.341463,0.282511,0.318841,0.276978,0.284091,0.303965,0.306358,0.296053,0.382353,0.483871,0.365517,0,0.34375,0.188235,0.597222,0.184906,0.222656,0.255708,0.290503,0.311688,0.155556,0.454545,0.136054,0,0.383117,0.05,0.728571,0.057034,0.098425,0.212963,0.335135,0.324841,0.081633,0.875,0.006803,0.013333,0.158163,0.333333,Hecht
0.335366,0.309417,0.217391,0.323741,0.299242,0.277533,0.294798,0.296053,0.205882,0.322581,0.365517,0,0.34375,0.282353,0.361111,0.309434,0.238281,0.210046,0.284916,0.318182,0.533333,0.484848,0.136054,0,0.383117,0.05,0.714286,0.072243,0.106299,0.208333,0.335135,0.324841,0.22449,0.84375,0.006803,0.013333,0.158163,0,Hecht
0.859756,0.318386,0.913043,0.363309,0.473485,0.704846,0.976879,1,0.147059,0.677419,0.2,0.386667,0.925,0.384314,1,0.433962,0.582031,0.844749,1,1,0.177778,0.333333,0.591837,1,0.993506,0.322727,0.9,0.536122,0.65748,0.898148,1,0.993631,0.020408,0.375,0.517007,0,0.823129,0.883333,Aal
0.786585,0.44843,0.608696,0.471223,0.556818,0.744493,0.936416,0.861842,0.558824,0.741935,0.124138,0.026667,0.85625,0.4,0.708333,0.581132,0.695312,0.885845,0.910615,0.844156,0.066667,0.363636,0.727891,0,0.88961,0.263636,0.671429,0.585551,0.716535,0.907407,0.87027,0.821656,0.081633,0.34375,0.959184,0,0.656463,0.833333,Aal
0.780488,0.421525,0.652174,0.446043,0.534091,0.731278,0.942197,0.861842,0.411765,0.645161,0.124138,0.026667,0.84375,0.384314,0.791667,0.539623,0.648438,0.863014,0.921788,0.844156,0.044444,0.454545,0.727891,0,0.883117,0.163636,0.814286,0.513308,0.653543,0.884259,0.881081,0.821656,0.102041,0.34375,0.959184,0,0.656463,1,Aal
0.853659,0.255605,0.942029,0.528777,0.655303,0.845815,0.959538,0.907895,0.058824,0.354839,0.862069,0,0.875,0.364706,0.958333,0.539623,0.660156,0.849315,0.910615,0.896104,0.022222,0.30303,0.870748,0,0.948052,0.213636,0.957143,0.539924,0.673228,0.888889,0.902703,0.878981,0.020408,0.34375,0.870748,0,0.863946,0.9,Aal
