@relation 'AngelDaten-weka.filters.unsupervised.attribute.Discretize-V-B20-M-1.0-R39-weka.filters.unsupervised.attribute.Remove-R2,4-5,7-10,12-14,19-27,29,31-38'

@attribute 0_wasser_temperatur {'\'(-inf-8.82]\'','\'(8.82-9.64]\'','\'(9.64-10.46]\'','\'(10.46-11.28]\'','\'(11.28-12.1]\'','\'(12.1-12.92]\'','\'(12.92-13.74]\'','\'(13.74-14.56]\'','\'(14.56-15.38]\'','\'(15.38-16.2]\'','\'(16.2-17.02]\'','\'(17.02-17.84]\'','\'(17.84-18.66]\'','\'(18.66-19.48]\'','\'(19.48-20.3]\'','\'(20.3-21.12]\'','\'(21.12-21.94]\'','\'(21.94-22.76]\'','\'(22.76-23.58]\'','\'(23.58-inf)\''}
'\'(12.92-13.74]\'','\'(49.7-53.15]\'','\'(15.31-16.445]\'','\'(5.275-6]\'','\'(67.8-71.7]\'','\'(16.015-17.42]\'','\'(16.04-17.325]\'','\'(13.975-15.07]\'','\'(12.19-13.58]\'','\'(11.72-12.8]\'',Hecht
'\'(13.74-14.56]\'','\'(56.6-60.05]\'','\'(16.445-17.58]\'','\'(8.9-9.625]\'','\'(48.3-52.2]\'','\'(17.42-18.825]\'','\'(17.325-18.61]\'','\'(15.07-16.165]\'','\'(16.36-17.75]\'','\'(13.88-14.96]\'',Forelle
'\'(14.56-15.38]\'','\'(73.85-77.3]\'','\'(17.58-18.715]\'','\'(12.525-13.25]\'','\'(87.3-91.2]\'','\'(16.015-17.42]\'','\'(17.325-18.61]\'','\'(16.165-17.26]\'','\'(13.58-14.97]\'','\'(13.88-14.96]\'',Karpfen
'\'(19.48-20.3]\'','\'(42.8-46.25]\'','\'(25.525-26.66]\'','\'(13.25-13.975]\'','\'(60-63.9]\'','\'(27.255-28.66]\'','\'(27.605-28.89]\'','\'(23.83-24.925]\'','\'(27.48-28.87]\'','\'(22.52-23.6]\'',Karpfen
'\'(18.66-19.48]\'','\'(46.25-49.7]\'','\'(25.525-26.66]\'','\'(13.975-inf)\'','\'(44.4-48.3]\'','\'(24.445-25.85]\'','\'(25.035-26.32]\'','\'(22.735-23.83]\'','\'(23.31-24.7]\'','\'(23.6-24.68]\'',Karpfen
'\'(18.66-19.48]\'','\'(80.75-84.2]\'','\'(25.525-26.66]\'','\'(13.975-inf)\'','\'(60-63.9]\'','\'(21.635-23.04]\'','\'(23.75-25.035]\'','\'(22.735-23.83]\'','\'(21.92-23.31]\'','\'(22.52-23.6]\'',Karpfen
'\'(17.84-18.66]\'','\'(84.2-87.65]\'','\'(22.12-23.255]\'','\'(11.075-11.8]\'','\'(95.1-inf)\'','\'(20.23-21.635]\'','\'(22.465-23.75]\'','\'(22.735-23.83]\'','\'(20.53-21.92]\'','\'(22.52-23.6]\'',Barbe
'\'(17.84-18.66]\'','\'(84.2-87.65]\'','\'(22.12-23.255]\'','\'(11.075-11.8]\'','\'(95.1-inf)\'','\'(20.23-21.635]\'','\'(22.465-23.75]\'','\'(22.735-23.83]\'','\'(20.53-21.92]\'','\'(22.52-23.6]\'',Barbe
'\'(21.12-21.94]\'','\'(39.35-42.8]\'','\'(28.93-30.065]\'','\'(13.975-inf)\'','\'(71.7-75.6]\'','\'(31.47-32.875]\'','\'(31.46-32.745]\'','\'(27.115-28.21]\'','\'(28.87-30.26]\'','\'(25.76-26.84]\'',Karpfen
'\'(22.76-23.58]\'','\'(80.75-84.2]\'','\'(30.065-inf)\'','\'(13.975-inf)\'','\'(79.5-83.4]\'','\'(28.66-30.065]\'','\'(30.175-31.46]\'','\'(29.305-inf)\'','\'(27.48-28.87]\'','\'(26.84-27.92]\'',Brachse
