@relation AngelDaten-weka.filters.unsupervised.attribute.Discretize-B20-M-1.0-Rfirst-last-precision6-unset-class-temporarily

@attribute 0_wasser_temperatur {'\'(-inf-8.83]\'','\'(8.83-9.66]\'','\'(9.66-10.49]\'','\'(10.49-11.32]\'','\'(11.32-12.15]\'','\'(12.15-12.98]\'','\'(12.98-13.81]\'','\'(13.81-14.64]\'','\'(14.64-15.47]\'','\'(15.47-16.3]\'','\'(16.3-17.13]\'','\'(17.13-17.96]\'','\'(17.96-18.79]\'','\'(18.79-19.62]\'','\'(19.62-20.45]\'','\'(20.45-21.28]\'','\'(21.28-22.11]\'','\'(22.11-22.94]\'','\'(22.94-23.77]\'','\'(23.77-inf)\''}
'\'(21.28-22.11]\'','\'(19-20.2]\'','\'(91.1-94.55]\'','\'(27.56-29.02]\'','\'(29.28-30.6]\'','\'(26.66-27.795]\'','\'(22.06-22.93]\'','\'(18.82-19.58]\'','\'(0.71-0.92]\'','\'(128.5-144]\'','\'(12.61-13.34]\'','\'(-inf-0.705]\'','\'(818.8-848.2]\'','\'(1920-1955]\'',Karpfen
'\'(21.28-22.11]\'','\'(15.4-16.6]\'','\'(91.1-94.55]\'','\'(26.1-27.56]\'','\'(27.96-29.28]\'','\'(26.66-27.795]\'','\'(22.93-inf)\'','\'(19.58-20.34]\'','\'(-inf-0.71]\'','\'(128.5-144]\'','\'(12.61-13.34]\'','\'(-inf-0.705]\'','\'(818.8-848.2]\'','\'(1990-2025]\'',Karpfen
'\'(21.28-22.11]\'','\'(15.4-16.6]\'','\'(91.1-94.55]\'','\'(26.1-27.56]\'','\'(27.96-29.28]\'','\'(26.66-27.795]\'','\'(22.93-inf)\'','\'(19.58-20.34]\'','\'(-inf-0.71]\'','\'(128.5-144]\'','\'(12.61-13.34]\'','\'(-inf-0.705]\'','\'(818.8-848.2]\'','\'(2025-2060]\'',Aal
'\'(20.45-21.28]\'','\'(13-14.2]\'','\'(87.65-91.1]\'','\'(24.64-26.1]\'','\'(26.64-27.96]\'','\'(25.525-26.66]\'','\'(22.06-22.93]\'','\'(19.58-20.34]\'','\'(0.71-0.92]\'','\'(128.5-144]\'','\'(11.88-12.61]\'','\'(-inf-0.705]\'','\'(818.8-848.2]\'','\'(1920-1955]\'',Karpfen
'\'(20.45-21.28]\'','\'(11.8-13]\'','\'(91.1-94.55]\'','\'(23.18-24.64]\'','\'(25.32-26.64]\'','\'(25.525-26.66]\'','\'(22.06-22.93]\'','\'(19.58-20.34]\'','\'(-inf-0.71]\'','\'(97.5-113]\'','\'(11.88-12.61]\'','\'(-inf-0.705]\'','\'(818.8-848.2]\'','\'(1990-2025]\'',Karpfen
'\'(20.45-21.28]\'','\'(15.4-16.6]\'','\'(80.75-84.2]\'','\'(23.18-24.64]\'','\'(25.32-26.64]\'','\'(24.39-25.525]\'','\'(22.06-22.93]\'','\'(19.58-20.34]\'','\'(1.13-1.34]\'','\'(221.5-237]\'','\'(8.23-8.96]\'','\'(-inf-0.705]\'','\'(877.6-inf)\'','\'(1920-1955]\'',Karpfen
'\'(18.79-19.62]\'','\'(15.4-16.6]\'','\'(94.55-inf)\'','\'(21.72-23.18]\'','\'(22.68-24]\'','\'(22.12-23.255]\'','\'(19.45-20.32]\'','\'(18.82-19.58]\'','\'(0.71-0.92]\'','\'(190.5-206]\'','\'(11.88-12.61]\'','\'(-inf-0.705]\'','\'(877.6-inf)\'','\'(1920-1955]\'',Hecht
'\'(12.98-13.81]\'','\'(16.6-17.8]\'','\'(42.8-46.25]\'','\'(20.26-21.72]\'','\'(17.4-18.72]\'','\'(14.175-15.31]\'','\'(10.75-11.62]\'','\'(9.7-10.46]\'','\'(1.13-1.34]\'','\'(113-128.5]\'','\'(5.31-6.04]\'','\'(-inf-0.705]\'','\'(407.2-436.6]\'','\'(-inf-1535]\'',Hecht
'\'(12.98-13.81]\'','\'(16.6-17.8]\'','\'(49.7-53.15]\'','\'(18.8-20.26]\'','\'(17.4-18.72]\'','\'(15.31-16.445]\'','\'(11.62-12.49]\'','\'(9.7-10.46]\'','\'(1.76-1.97]\'','\'(159.5-175]\'','\'(5.31-6.04]\'','\'(-inf-0.705]\'','\'(407.2-436.6]\'','\'(1675-1710]\'',Hecht
'\'(13.81-14.64]\'','\'(17.8-19]\'','\'(56.6-60.05]\'','\'(18.8-20.26]\'','\'(18.72-20.04]\'','\'(16.445-17.58]\'','\'(11.62-12.49]\'','\'(9.7-10.46]\'','\'(1.76-1.97]\'','\'(190.5-206]\'','\'(8.96-9.69]\'','\'(-inf-0.705]\'','\'(377.8-407.2]\'','\'(1675-1710]\'',Forelle
'\'(14.64-15.47]\'','\'(13-14.2]\'','\'(73.85-77.3]\'','\'(18.8-20.26]\'','\'(20.04-21.36]\'','\'(17.58-18.715]\'','\'(12.49-13.36]\'','\'(10.46-11.22]\'','\'(1.76-1.97]\'','\'(-inf-35.5]\'','\'(12.61-13.34]\'','\'(-inf-0.705]\'','\'(407.2-436.6]\'','\'(1885-1920]\'',Karpfen
'\'(19.62-20.45]\'','\'(26.2-27.4]\'','\'(42.8-46.25]\'','\'(29.02-30.48]\'','\'(29.28-30.6]\'','\'(25.525-26.66]\'','\'(18.58-19.45]\'','\'(13.5-14.26]\'','\'(1.97-2.18]\'','\'(35.5-51]\'','\'(12.61-13.34]\'','\'(4.23-4.935]\'','\'(495.4-524.8]\'','\'(1815-1850]\'',Karpfen
'\'(18.79-19.62]\'','\'(22.6-23.8]\'','\'(46.25-49.7]\'','\'(29.02-30.48]\'','\'(29.28-30.6]\'','\'(25.525-26.66]\'','\'(18.58-19.45]\'','\'(15.78-16.54]\'','\'(-inf-0.71]\'','\'(159.5-175]\'','\'(14.07-inf)\'','\'(-inf-0.705]\'','\'(583.6-613]\'','\'(1780-1815]\'',Karpfen
'\'(18.79-19.62]\'','\'(17.8-19]\'','\'(80.75-84.2]\'','\'(26.1-27.56]\'','\'(27.96-29.28]\'','\'(25.525-26.66]\'','\'(18.58-19.45]\'','\'(15.78-16.54]\'','\'(0.71-0.92]\'','\'(159.5-175]\'','\'(14.07-inf)\'','\'(-inf-0.705]\'','\'(583.6-613]\'','\'(1885-1920]\'',Karpfen
'\'(17.96-18.79]\'','\'(-inf-10.6]\'','\'(84.2-87.65]\'','\'(20.26-21.72]\'','\'(22.68-24]\'','\'(22.12-23.255]\'','\'(18.58-19.45]\'','\'(15.02-15.78]\'','\'(0.92-1.13]\'','\'(128.5-144]\'','\'(11.15-11.88]\'','\'(-inf-0.705]\'','\'(583.6-613]\'','\'(1990-2025]\'',Barbe
